Date,E-Commerce Retail Sales (in millions)
2000-01-01,5691
2000-04-01,6465
2000-07-01,7419
2000-10-01,7840
2001-01-01,8135
2001-04-01,8336
2001-07-01,8335
2001-10-01,9314
2002-01-01,9904
2002-04-01,10742
2002-07-01,11543
2002-10-01,12231
2003-01-01,12738
2003-04-01,13773
2003-07-01,14833
2003-10-01,15588
2004-01-01,16697
2004-04-01,17519
2004-07-01,18506
2004-10-01,19631
2005-01-01,20801
2005-04-01,22233
2005-07-01,23653
2005-10-01,24364
2006-01-01,26417
2006-04-01,27367
2006-07-01,28842
2006-10-01,30138
2007-01-01,31728
2007-04-01,33524
2007-07-01,34841
2007-10-01,35784
2008-01-01,36017
2008-04-01,36514
2008-07-01,36292
2008-10-01,33042
2009-01-01,34132
2009-04-01,35282
2009-07-01,37402
2009-10-01,38110
2010-01-01,39289
2010-04-01,41303
2010-07-01,43474
2010-10-01,45075
2011-01-01,47020
2011-04-01,48815
2011-07-01,50140
2011-10-01,53123
2012-01-01,55144
2012-04-01,56363
2012-07-01,58449
2012-10-01,60815
2013-01-01,62458
2013-04-01,64383
2013-07-01,66457
2013-10-01,69005
2014-01-01,71108
2014-04-01,74290
2014-07-01,76943
2014-10-01,79024
2015-01-01,81837
2015-04-01,84704
2015-07-01,87754
2015-10-01,90687
2016-01-01,94057
2016-04-01,97459
2016-07-01,100519
2016-10-01,103952
2017-01-01,108157
2017-04-01,112644
2017-07-01,115419
2017-10-01,121019
2018-01-01,124936
2018-04-01,128616
2018-07-01,130625
2018-10-01,134291
2019-01-01,139713
2019-04-01,146394
2019-07-01,153224
2019-10-01,156581
2020-01-01,160414
2020-04-01,211595
2020-07-01,209533